area_code,area_name,house_comp_2006_1,house_comp_2006_2,house_comp_2006_3,house_comp_2006_4,house_comp_2006_5,house_comp_2006_6,house_comp_2006_7,house_comp_2006_8,house_comp_2013_1,house_comp_2013_2,house_comp_2013_3,house_comp_2013_4,house_comp_2013_5,house_comp_2013_6,house_comp_2013_7,house_comp_2013_8,family_income_2006_20orless,family_income_2006_20to30,family_income_2006_30to50,family_income_2006_50to70,family_income_2006_70to100,family_income_2006_100ormore,family_income_2013_20orless,family_income_2013_20to30,family_income_2013_30to50,family_income_2013_50to70,family_income_2013_70to100,family_income_2013_100ormore,highest_qual_2006_none,highest_qual_2006_level1,highest_qual_2006_level2,highest_qual_2006_level3,highest_qual_2006_level4,highest_qual_2006_level5or6,highest_qual_2006_level7,highest_qual_2006_overseas,highest_qual_2006_postgrad,highest_qual_2006_masters,highest_qual_2006_doctorate,highest_qual_2013_none,highest_qual_2013_level1,highest_qual_2013_level2,highest_qual_2013_level3,highest_qual_2013_level4,highest_qual_2013_level5or6,highest_qual_2013_level7,highest_qual_2013_overseas,highest_qual_2013_postgrad,highest_qual_2013_masters,highest_qual_2013_doctorate,2006_Industry_Managers,2006_Industry_Professionals,2006_Industry_Trades,2006_Industry_Service,2006_Industry_Admin,2006_Industry_Sales,2006_Industry_Machinery,2006_Industry_Labourers,2013_Industry_Managers,2013_Industry_Professionals,2013_Industry_Trades,2013_Industry_Service,2013_Industry_Admin,2013_Industry_Sales,2013_Industry_Machinery,2013_Industry_Labourers
7601,Rodney Local Board Area,3171,6405,2853,2979,1371,465,138,102,3822,7476,3246,3267,1512,468,153,111,852,1299,2139,2238,2358,3198,747,960,2331,2013,2805,5136,8076,5508,4095,2484,4260,3570,2976,1944,564,564,162,7413,5862,4737,3279,4467,3981,4545,2457,972,888,240,5649,4179,3639,1710,3009,2043,1299,2415,6018,5175,3486,2049,3159,2130,1119,2445
7602,Hibiscus and Bays Local Board Area,5742,10374,5085,5439,2214,651,159,81,6303,11334,5454,6165,2391,735,189,123,1239,2124,3138,3279,4410,6729,1032,1365,3690,3033,4704,9867,10515,8037,6849,5070,6909,6804,7365,6210,1269,1311,318,9366,8088,7383,6372,6783,7329,9738,7119,2139,1962,489,8274,9063,5214,3108,6012,4725,1479,2547,9096,10620,4812,3705,5808,4629,1281,2460
7603,Upper Harbour Local Board Area,1971,4245,2775,3306,1257,375,117,69,2259,4896,3396,3930,1644,618,225,138,813,810,1392,1536,2136,3714,996,756,1842,1692,2406,5823,4350,3822,3558,3276,2973,3225,4551,3924,666,870,165,4356,3912,3876,4647,3048,3807,7143,5484,1332,1470,258,4848,4647,2685,1668,3273,2403,735,1131,5895,6192,2835,2037,3327,2793,753,1305
7604,Kaipatiki Local Board Area,5211,8628,5448,4770,2091,840,303,261,5028,8649,5697,5325,2265,885,333,246,1797,1770,3015,3204,3990,4959,1401,1317,3063,2835,4305,7407,9258,6693,6057,6171,5301,6018,9360,6444,1167,1764,318,7914,5676,5571,6579,4956,5949,11715,6891,2061,2331,474,6654,9276,5328,3429,6099,4590,2010,2916,7002,10644,4953,3633,5088,4284,1524,2583
7605,Devonport-Takapuna Local Board Area,4536,6501,3405,3366,1311,378,96,78,4377,6513,3579,3762,1464,477,114,57,924,1008,1770,1806,2295,5046,807,690,1740,1620,2436,6795,4875,4449,4353,4137,3153,4578,7563,3840,1206,1584,348,4047,4002,4110,4623,2898,4401,9012,4392,1827,2241,468,5610,7497,2640,2388,3735,2826,648,1233,5910,8349,2514,2490,3312,2604,510,1125
7606,Henderson-Massey Local Board Area,5472,9006,6126,5544,2934,1377,603,648,5757,9504,6786,6252,3159,1551,654,777,2511,2691,4155,4017,4341,3744,2418,2205,4581,3909,5301,6432,17805,9261,6774,5520,6192,5148,6033,6126,693,1080,159,16596,9186,7575,7365,6588,5763,9117,6942,1392,1557,234,5718,7224,6699,3519,6372,4896,3318,4431,6459,8934,6222,4101,6027,4626,2841,4167
7607,Waitakere Ranges Local Board Area,2661,4884,3030,2949,1308,438,180,138,2883,5112,3213,3183,1392,474,204,162,738,1005,1710,1815,2304,3102,654,741,1728,1644,2571,4602,6060,4260,3621,2691,3435,3222,3765,2103,708,879,234,5307,4212,3756,3351,3552,3240,4995,2415,1203,1287,297,3807,5271,3441,1605,3225,2148,1113,1470,4080,6138,3099,1968,2967,1995,948,1431
7608,Great Barrier Local Board Area,213,138,54,21,9,6,0,0,189,177,48,24,6,12,3,3,39,36,36,18,18,15,27,39,54,42,27,18,195,93,75,30,81,63,45,27,9,15,3,162,96,60,36,93,69,57,30,18,18,9,84,66,54,36,30,21,27,48,84,60,33,30,45,21,21,63
7609,Waiheke Local Board Area,1107,1257,468,366,126,27,15,6,1152,1365,516,393,138,42,12,6,195,276,378,303,261,384,135,195,423,291,360,627,1158,738,606,402,585,630,726,387,162,204,66,951,720,603,468,558,663,963,471,258,339,105,765,843,492,297,360,342,162,366,834,945,480,354,351,300,126,360
7610,Waitemata Local Board Area,7941,10176,3996,2628,882,258,96,96,9324,11913,5142,3453,1191,345,105,87,1032,690,1257,1344,1803,5457,1179,723,1623,1611,2490,7401,3654,3138,4038,6819,2691,4734,12891,4473,2259,2745,603,3504,3186,3969,8625,2502,5841,17490,6660,3756,4446,972,7299,12195,2568,2802,3891,3354,525,1146,8769,15105,3060,3708,4329,3789,510,1620
